timestamp,symbol,price
2025-10-21T22:35:17.543587,AAPL,148.94
2025-10-21T22:35:17.543737,AAPL,146.7
2025-10-21T22:35:17.543879,AAPL,146.62
2025-10-21T22:35:17.544017,AAPL,146.93
2025-10-21T22:35:17.544159,AAPL,144.69
2025-10-21T22:35:17.544294,AAPL,144.76
2025-10-21T22:35:17.544432,AAPL,149.4
2025-10-21T22:35:17.544567,AAPL,154.16
2025-10-21T22:35:17.544705,AAPL,147.92
2025-10-21T22:35:17.544835,AAPL,147.13
2025-10-21T22:35:17.544966,AAPL,145.82
2025-10-21T22:35:17.545096,AAPL,144.3
2025-10-21T22:35:17.545226,AAPL,139.0
2025-10-21T22:35:17.545355,AAPL,139.4
2025-10-21T22:35:17.545484,AAPL,141.37
2025-10-21T22:35:17.545614,AAPL,137.38
2025-10-21T22:35:17.545743,AAPL,139.67
2025-10-21T22:35:17.545873,AAPL,141.4
2025-10-21T22:35:17.546002,AAPL,141.4
2025-10-21T22:35:17.546131,AAPL,145.53
2025-10-21T22:35:17.546261,AAPL,143.43
2025-10-21T22:35:17.546390,AAPL,148.19
2025-10-21T22:35:17.546521,AAPL,148.76
2025-10-21T22:35:17.546650,AAPL,152.19
2025-10-21T22:35:17.546779,AAPL,154.93
2025-10-21T22:35:17.546908,AAPL,148.75
2025-10-21T22:35:17.547038,AAPL,146.07
2025-10-21T22:35:17.547168,AAPL,148.81
2025-10-21T22:35:17.547298,AAPL,149.87
2025-10-21T22:35:17.547427,AAPL,144.72
2025-10-21T22:35:17.547557,AAPL,144.36
2025-10-21T22:35:17.547686,AAPL,144.27
2025-10-21T22:35:17.547815,AAPL,141.77
2025-10-21T22:35:17.547944,AAPL,139.62
2025-10-21T22:35:17.548077,AAPL,144.68
2025-10-21T22:35:17.548206,AAPL,148.12
2025-10-21T22:35:17.548335,AAPL,146.15
2025-10-21T22:35:17.548465,AAPL,148.11
2025-10-21T22:35:17.548594,AAPL,144.01
2025-10-21T22:35:17.548723,AAPL,145.16
2025-10-21T22:35:17.548852,AAPL,142.81
2025-10-21T22:35:17.548981,AAPL,143.93
2025-10-21T22:35:17.549111,AAPL,140.09
2025-10-21T22:35:17.549240,AAPL,140.46
2025-10-21T22:35:17.549369,AAPL,142.29
2025-10-21T22:35:17.549498,AAPL,144.77
2025-10-21T22:35:17.549627,AAPL,149.16
2025-10-21T22:35:17.549757,AAPL,149.75
2025-10-21T22:35:17.549886,AAPL,151.51
2025-10-21T22:35:17.550015,AAPL,151.14
2025-10-21T22:35:17.550144,AAPL,152.62
2025-10-21T22:35:17.550273,AAPL,151.1
2025-10-21T22:35:17.550403,AAPL,154.94
2025-10-21T22:35:17.550532,AAPL,159.07
2025-10-21T22:35:17.550662,AAPL,158.2
2025-10-21T22:35:17.550795,AAPL,165.33
2025-10-21T22:35:17.550926,AAPL,159.46
2025-10-21T22:35:17.551056,AAPL,156.83
2025-10-21T22:35:17.551185,AAPL,153.83
2025-10-21T22:35:17.551315,AAPL,155.47
2025-10-21T22:35:17.551445,AAPL,158.13
2025-10-21T22:35:17.551575,AAPL,162.21
2025-10-21T22:35:17.551705,AAPL,161.42
2025-10-21T22:35:17.551835,AAPL,158.51
2025-10-21T22:35:17.551964,AAPL,165.81
2025-10-21T22:35:17.552097,AAPL,166.62
2025-10-21T22:35:17.552227,AAPL,166.05
2025-10-21T22:35:17.552357,AAPL,157.72
2025-10-21T22:35:17.552486,AAPL,161.86
2025-10-21T22:35:17.552615,AAPL,163.76
2025-10-21T22:35:17.552744,AAPL,171.36
2025-10-21T22:35:17.552873,AAPL,175.36
2025-10-21T22:35:17.553003,AAPL,177.24
2025-10-21T22:35:17.553134,AAPL,175.88
2025-10-21T22:35:17.553265,AAPL,175.77
2025-10-21T22:35:17.553398,AAPL,174.88
2025-10-21T22:35:17.553529,AAPL,174.15
2025-10-21T22:35:17.553659,AAPL,176.16
2025-10-21T22:35:17.553788,AAPL,171.75
2025-10-21T22:35:17.553918,AAPL,168.26
2025-10-21T22:35:17.554051,AAPL,173.39
2025-10-21T22:35:17.554180,AAPL,171.24
2025-10-21T22:35:17.554310,AAPL,175.85
2025-10-21T22:35:17.554443,AAPL,169.33
2025-10-21T22:35:17.554576,AAPL,168.95
2025-10-21T22:35:17.554707,AAPL,170.94
2025-10-21T22:35:17.554838,AAPL,167.92
2025-10-21T22:35:17.554967,AAPL,164.01
2025-10-21T22:35:17.555100,AAPL,162.15
2025-10-21T22:35:17.555229,AAPL,164.49
2025-10-21T22:35:17.555358,AAPL,163.61
2025-10-21T22:35:17.555487,AAPL,172.59
2025-10-21T22:35:17.555616,AAPL,175.18
2025-10-21T22:35:17.555745,AAPL,173.25
2025-10-21T22:35:17.555874,AAPL,179.96
2025-10-21T22:35:17.556004,AAPL,180.07
2025-10-21T22:35:17.556162,AAPL,183.66
